City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,wewak,-3.5534,143.6268,28.89,75,100,2.89,PG,1682310611
405,cill airne,52.05,-9.5167,6.76,91,83,2.45,IE,1682310612
406,mariehamn,60.0973,19.9348,1.92,100,100,3.6,AX,1682310612
407,anbyon-up,39.0425,127.5239,11.78,66,100,2.98,KP,1682310612
408,broken hill,-31.95,141.4333,25.31,31,0,4.8,AU,1682310613
409,kudymkar,59.0173,54.656,6.76,75,100,1.43,RU,1682310613
410,acarau,-2.8856,-40.12,24.15,86,88,3.82,BR,1682310613
411,monrovia,6.3005,-10.7969,23.87,82,50,1.9,LR,1682310613
412,berezovyy,51.6667,135.7,6.19,51,100,5.72,RU,1682310614
413,colonia,40.5746,-74.3021,12.11,65,0,4.63,US,1682310614
414,fauske,67.2588,15.3918,-2.98,73,8,1.92,NO,1682310614
415,oriximina,-1.7656,-55.8661,23.27,94,100,1.0,BR,1682310615
416,manokwari,-0.8667,134.0833,28.08,72,12,1.68,ID,1682310615
417,kavaratti,10.5669,72.642,28.89,70,96,5.35,IN,1682310615
418,veinticinco de mayo,-35.4323,-60.1727,12.77,89,100,0.89,AR,1682310615
419,rantauprapat,2.1,99.8333,29.75,77,94,1.26,ID,1682310616
420,tamanrasset,22.785,5.5228,16.95,16,0,1.54,DZ,1682310616
421,spring creek,40.7266,-115.5859,5.83,77,92,1.52,US,1682310616
422,mega,4.05,38.3,17.92,71,82,0.31,ET,1682310617
423,egilsstadir,65.2653,-14.3948,-6.05,79,0,1.54,IS,1682310617
424,kalmunai,7.4167,81.8167,31.07,64,99,3.57,LK,1682310617
425,nagqu,31.5,92.0,-0.19,20,80,4.75,CN,1682310618
426,brokopondo,5.0667,-54.9667,23.56,99,100,0.91,SR,1682310618
427,vanimo,-2.6741,141.3028,28.14,81,100,2.77,PG,1682310618
428,kietrz,50.0804,18.0043,13.19,74,100,1.69,PL,1682310618
429,boundiali,9.5217,-6.4869,22.66,81,98,1.35,CI,1682310619
430,nihommatsu,37.5833,140.4333,14.76,32,100,4.45,JP,1682310366
431,aripuana,-9.1667,-60.6333,21.31,99,99,0.67,BR,1682310619
432,daura,11.5538,11.4085,27.03,60,100,5.73,NG,1682310620
433,saint-leu,-21.15,55.2833,27.2,82,11,0.89,RE,1682310620
434,la paz,-16.5,-68.15,6.99,84,1,2.06,BO,1682310507
435,xianyang,34.3378,108.7026,8.58,81,100,4.0,CN,1682310620
436,zaozersk,69.4005,32.4476,-3.45,83,14,5.27,RU,1682310621
437,shingu,33.7333,135.9833,16.58,37,100,3.27,JP,1682310621
438,pohrebyshche,49.4864,29.2636,10.05,73,11,2.48,UA,1682310622
439,chifeng,42.2683,118.9636,18.28,18,78,4.81,CN,1682310622
440,sur,22.5667,59.5289,29.61,60,100,2.16,OM,1682310622
441,litchfield,42.8443,-71.4798,9.3,96,100,4.12,US,1682310361
442,krasnoarmeyskoye,52.7182,50.0322,15.08,49,6,2.36,RU,1682310623
443,al jawf,24.1989,23.2909,23.33,21,9,3.24,LY,1682310623
444,ilovlya,49.3033,43.9796,13.02,64,13,3.56,RU,1682310624
